; RCP8.5 CO2 concentrations in ppm,
Date,Ca_constrain
1765,278.05158
1766,278.05158
1767,278.05158
1768,278.05158
1769,278.05158
1770,278.05158
1771,278.05158
1772,278.05158
1773,278.05158
1774,278.05158
1775,278.05158
1776,278.05158
1777,278.05158
1778,278.05158
1779,278.05158
1780,278.05158
1781,278.05158
1782,278.05158
1783,278.05158
1784,278.05158
1785,278.05158
1786,278.05158
1787,278.05158
1788,278.05158
1789,278.05158
1790,278.05158
1791,278.05158
1792,278.05158
1793,278.05158
1794,278.05158
1795,278.05158
1796,278.05158
1797,278.05158
1798,278.05158
1799,278.05158
1800,278.05158
1801,278.05158
1802,278.05158
1803,278.05158
1804,278.05158
1805,278.05158
1806,278.05158
1807,278.05158
1808,278.05158
1809,278.05158
1810,278.05158
1811,278.05158
1812,278.05158
1813,278.05158
1814,278.05158
1815,278.05158
1816,278.05158
1817,278.05158
1818,278.05158
1819,278.05158
1820,278.05158
1821,278.05158
1822,278.05158
1823,278.05158
1824,278.05158
1825,278.05158
1826,278.05158
1827,278.05158
1828,278.05158
1829,278.05158
1830,278.05158
1831,278.05158
1832,278.05158
1833,278.05158
1834,278.05158
1835,278.05158
1836,278.05158
1837,278.05158
1838,278.05158
1839,278.05158
1840,278.05158
1841,278.05158
1842,278.05158
1843,278.05158
1844,278.05158
1845,278.05158
1846,278.05158
1847,278.05158
1848,278.05158
1849,278.05158
1850,1112.20632
1851,278.05158
1852,278.05158
1853,278.05158
1854,278.05158
1855,278.05158
1856,278.05158
1857,278.05158
1858,278.05158
1859,278.05158
1860,278.05158
1861,278.05158
1862,278.05158
1863,278.05158
1864,278.05158
1865,278.05158
1866,278.05158
1867,278.05158
1868,278.05158
1869,278.05158
1870,278.05158
1871,278.05158
1872,278.05158
1873,278.05158
1874,278.05158
1875,278.05158
1876,278.05158
1877,278.05158
1878,278.05158
1879,278.05158
1880,278.05158
1881,278.05158
1882,278.05158
1883,278.05158
1884,278.05158
1885,278.05158
1886,278.05158
1887,278.05158
1888,278.05158
1889,278.05158
1890,278.05158
1891,278.05158
1892,278.05158
1893,278.05158
1894,278.05158
1895,278.05158
1896,278.05158
1897,278.05158
1898,278.05158
1899,278.05158
1900,278.05158
1901,278.05158
1902,278.05158
1903,278.05158
1904,278.05158
1905,278.05158
1906,278.05158
1907,278.05158
1908,278.05158
1909,278.05158
1910,278.05158
1911,278.05158
1912,278.05158
1913,278.05158
1914,278.05158
1915,278.05158
1916,278.05158
1917,278.05158
1918,278.05158
1919,278.05158
1920,278.05158
1921,278.05158
1922,278.05158
1923,278.05158
1924,278.05158
1925,278.05158
1926,278.05158
1927,278.05158
1928,278.05158
1929,278.05158
1930,278.05158
1931,278.05158
1932,278.05158
1933,278.05158
1934,278.05158
1935,278.05158
1936,278.05158
1937,278.05158
1938,278.05158
1939,278.05158
1940,278.05158
1941,278.05158
1942,278.05158
1943,278.05158
1944,278.05158
1945,278.05158
1946,278.05158
1947,278.05158
1948,278.05158
1949,278.05158
1950,278.05158
1951,278.05158
1952,278.05158
1953,278.05158
1954,278.05158
1955,278.05158
1956,278.05158
1957,278.05158
1958,278.05158
1959,278.05158
1960,278.05158
1961,278.05158
1962,278.05158
1963,278.05158
1964,278.05158
1965,278.05158
1966,278.05158
1967,278.05158
1968,278.05158
1969,278.05158
1970,278.05158
1971,278.05158
1972,278.05158
1973,278.05158
1974,278.05158
1975,278.05158
1976,278.05158
1977,278.05158
1978,278.05158
1979,278.05158
1980,278.05158
1981,278.05158
1982,278.05158
1983,278.05158
1984,278.05158
1985,278.05158
1986,278.05158
1987,278.05158
1988,278.05158
1989,278.05158
1990,278.05158
1991,278.05158
1992,278.05158
1993,278.05158
1994,278.05158
1995,278.05158
1996,278.05158
1997,278.05158
1998,278.05158
1999,278.05158
2000,278.05158
2001,278.05158
2002,278.05158
2003,278.05158
2004,278.05158
2005,278.05158
2006,278.05158
2007,278.05158
2008,278.05158
2009,278.05158
2010,278.05158
2011,278.05158
2012,278.05158
2013,278.05158
2014,278.05158
2015,278.05158
2016,278.05158
2017,278.05158
2018,278.05158
2019,278.05158
2020,278.05158
2021,278.05158
2022,278.05158
2023,278.05158
2024,278.05158
2025,278.05158
2026,278.05158
2027,278.05158
2028,278.05158
2029,278.05158
2030,278.05158
2031,278.05158
2032,278.05158
2033,278.05158
2034,278.05158
2035,278.05158
2036,278.05158
2037,278.05158
2038,278.05158
2039,278.05158
2040,278.05158
2041,278.05158
2042,278.05158
2043,278.05158
2044,278.05158
2045,278.05158
2046,278.05158
2047,278.05158
2048,278.05158
2049,278.05158
2050,278.05158
2051,278.05158
2052,278.05158
2053,278.05158
2054,278.05158
2055,278.05158
2056,278.05158
2057,278.05158
2058,278.05158
2059,278.05158
2060,278.05158
2061,278.05158
2062,278.05158
2063,278.05158
2064,278.05158
2065,278.05158
2066,278.05158
2067,278.05158
2068,278.05158
2069,278.05158
2070,278.05158
2071,278.05158
2072,278.05158
2073,278.05158
2074,278.05158
2075,278.05158
2076,278.05158
2077,278.05158
2078,278.05158
2079,278.05158
2080,278.05158
2081,278.05158
2082,278.05158
2083,278.05158
2084,278.05158
2085,278.05158
2086,278.05158
2087,278.05158
2088,278.05158
2089,278.05158
2090,278.05158
2091,278.05158
2092,278.05158
2093,278.05158
2094,278.05158
2095,278.05158
2096,278.05158
2097,278.05158
2098,278.05158
2099,278.05158
2100,278.05158
2101,278.05158
2102,278.05158
2103,278.05158
2104,278.05158
2105,278.05158
2106,278.05158
2107,278.05158
2108,278.05158
2109,278.05158
2110,278.05158
2111,278.05158
2112,278.05158
2113,278.05158
2114,278.05158
2115,278.05158
2116,278.05158
2117,278.05158
2118,278.05158
2119,278.05158
2120,278.05158
2121,278.05158
2122,278.05158
2123,278.05158
2124,278.05158
2125,278.05158
2126,278.05158
2127,278.05158
2128,278.05158
2129,278.05158
2130,278.05158
2131,278.05158
2132,278.05158
2133,278.05158
2134,278.05158
2135,278.05158
2136,278.05158
2137,278.05158
2138,278.05158
2139,278.05158
2140,278.05158
2141,278.05158
2142,278.05158
2143,278.05158
2144,278.05158
2145,278.05158
2146,278.05158
2147,278.05158
2148,278.05158
2149,278.05158
2150,278.05158
2151,278.05158
2152,278.05158
2153,278.05158
2154,278.05158
2155,278.05158
2156,278.05158
2157,278.05158
2158,278.05158
2159,278.05158
2160,278.05158
2161,278.05158
2162,278.05158
2163,278.05158
2164,278.05158
2165,278.05158
2166,278.05158
2167,278.05158
2168,278.05158
2169,278.05158
2170,278.05158
2171,278.05158
2172,278.05158
2173,278.05158
2174,278.05158
2175,278.05158
2176,278.05158
2177,278.05158
2178,278.05158
2179,278.05158
2180,278.05158
2181,278.05158
2182,278.05158
2183,278.05158
2184,278.05158
2185,278.05158
2186,278.05158
2187,278.05158
2188,278.05158
2189,278.05158
2190,278.05158
2191,278.05158
2192,278.05158
2193,278.05158
2194,278.05158
2195,278.05158
2196,278.05158
2197,278.05158
2198,278.05158
2199,278.05158
2200,278.05158
2201,278.05158
2202,278.05158
2203,278.05158
2204,278.05158
2205,278.05158
2206,278.05158
2207,278.05158
2208,278.05158
2209,278.05158
2210,278.05158
2211,278.05158
2212,278.05158
2213,278.05158
2214,278.05158
2215,278.05158
2216,278.05158
2217,278.05158
2218,278.05158
2219,278.05158
2220,278.05158
2221,278.05158
2222,278.05158
2223,278.05158
2224,278.05158
2225,278.05158
2226,278.05158
2227,278.05158
2228,278.05158
2229,278.05158
2230,278.05158
2231,278.05158
2232,278.05158
2233,278.05158
2234,278.05158
2235,278.05158
2236,278.05158
2237,278.05158
2238,278.05158
2239,278.05158
2240,278.05158
2241,278.05158
2242,278.05158
2243,278.05158
2244,278.05158
2245,278.05158
2246,278.05158
2247,278.05158
2248,278.05158
2249,278.05158
2250,278.05158
2251,278.05158
2252,278.05158
2253,278.05158
2254,278.05158
2255,278.05158
2256,278.05158
2257,278.05158
2258,278.05158
2259,278.05158
2260,278.05158
2261,278.05158
2262,278.05158
2263,278.05158
2264,278.05158
2265,278.05158
2266,278.05158
2267,278.05158
2268,278.05158
2269,278.05158
2270,278.05158
2271,278.05158
2272,278.05158
2273,278.05158
2274,278.05158
2275,278.05158
2276,278.05158
2277,278.05158
2278,278.05158
2279,278.05158
2280,278.05158
2281,278.05158
2282,278.05158
2283,278.05158
2284,278.05158
2285,278.05158
2286,278.05158
2287,278.05158
2288,278.05158
2289,278.05158
2290,278.05158
2291,278.05158
2292,278.05158
2293,278.05158
2294,278.05158
2295,278.05158
2296,278.05158
2297,278.05158
2298,278.05158
2299,278.05158
2300,278.05158